Provinsi/Kabupaten/Kota,2022
ACEH,9963
Simeulue,7371
Aceh Singkil,8994
Aceh Selatan,8353
Aceh Tenggara,8222
Aceh Timur,9127
Aceh Tengah,10957
Aceh Barat,9775
Aceh Besar,9894
Pidie,10211
Bireuen,9438
Aceh Utara,8620
Aceh Barat Daya,8651
Gayo Lues,9094
Aceh Tamiang,8759
Nagan Raya,8581
Aceh Jaya,10041
Bener Meriah,11421
Pidie Jaya,10701
Kota Banda Aceh,17228
Kota Sabang,11780
Kota Langsa,12353
Kota Lhokseumawe,11701
Kota Subulussalam,7689
SUMATERA UTARA,10848
Nias,7196
Mandailing Natal,10061
Tapanuli Selatan,11727
Tapanuli Tengah,10495
Tapanuli Utara,11892
Toba Samosir / Toba,12475
Labuhan Batu,11474
Asahan,11515
Simalungun,11524
Dairi,10740
Karo,12554
Deli Serdang,12657
Langkat,11439
Nias Selatan,7195
Humbang Hasundutan,8250
Pakpak Bharat,8558
Samosir,8991
Serdang Bedagai,11499
Batu Bara,10755
Padang Lawas Utara,10447
Padang Lawas,9207
Labuhan Batu Selatan,11751
Labuhan Batu Utara,12258
Nias Utara,6575
Nias Barat,6152
Kota Sibolga,12135
Kota Tanjung Balai,11589
Kota Pematang Siantar,12744
Kota Tebing Tinggi,13144
Kota Medan,15503
Kota Binjai,11358
Kota Padangsidimpuan,11337
Kota Gunungsitoli,8434
SUMATERA BARAT,11130
Kepulauan Mentawai,6567
Pesisir Selatan,9686
Solok,10539
Sijunjung,10582
Tanah Datar,10695
Padang Pariaman,11159
Agam,10171
Lima Puluh Kota,10035
Pasaman,8619
Solok Selatan,10560
Dharmasraya,11650
Pasaman Barat,9381
Kota Padang,14889
Kota Solok,12515
Kota Sawah Lunto,10537
Kota Padang Panjang,11153
Kota Bukittinggi,13633
Kota Payakumbuh,13687
Kota Pariaman,13150
RIAU,11158
Kuantan Singingi,10647
Indragiri Hulu,10472
Indragiri Hilir,10234
Pelalawan,12163
Siak,12230
Kampar,11394
Rokan Hulu,9841
Bengkalis,11857
Rokan Hilir,9906
Kepulauan Meranti,8246
Kota Pekanbaru,14804
Kota Dumai,12249
JAMBI,10871
Kerinci,10570
Merangin,10714
Sarolangun,12069
Batang Hari,10173
Muaro Jambi,9118
Tanjung Jabung Timur,9503
Tanjung Jabung Barat,9968
Tebo,10725
Bungo,11956
Kota Jambi,12597
Kota Sungai Penuh,10745
SUMATERA SELATAN,11109
Ogan Komering Ulu,10499
Ogan Komering Ilir,11251
Muara Enim,11304
Lahat,10296
Musi Rawas,10107
Musi Banyuasin,10453
Banyu Asin,10299
Ogan Komering Ulu Selatan,8895
Ogan Komering Ulu Timur,11759
Ogan Ilir,11069
Empat Lawang,9838
Penukal Abab Lematang Ilir,8680
Musi Rawas Utara,10283
Kota Palembang,15168
Kota Prabumulih,13106
Kota Pagar Alam,9330
Kota Lubuklinggau,13832
BENGKULU,10840
Bengkulu Selatan,10318
Rejang Lebong,10547
Bengkulu Utara,10774
Kaur,9009
Seluma,8657
Mukomuko,10747
Lebong,11644
Kepahiang,9708
Bengkulu Tengah,9697
Kota Bengkulu,14503
LAMPUNG,10336
Lampung Barat,10175
Tanggamus,9557
Lampung Selatan,10266
Lampung Timur,10403
Lampung Tengah,11710
Lampung Utara,8951
Way Kanan,9450
Tulangbawang,11114
Pesawaran,8192
Pringsewu,10577
Mesuji,8466
Tulang Bawang Barat,8737
Pesisir Barat,8663
Kota Bandar Lampung,12593
Kota Metro,12233
KEP. BANGKA BELITUNG,13358
Bangka,12863
Belitung,14045
Bangka Barat,12790
Bangka Tengah,13422
Bangka Selatan,12341
Belitung Timur,12357
Kota Pangkal Pinang,16307
KEPULAUAN RIAU,14469
Karimun,12304
Bintan,14739
Natuna,14834
Lingga,12134
Kepulauan Anambas,12137
Kota Batam,18506
Kota Tanjung Pinang,15864
DKI JAKARTA,18927
Kep. Seribu,12999
Kota Jakarta Selatan,24221
Kota Jakarta Timur,18199
Kota Jakarta Pusat,17765
Kota Jakarta Barat,21357
Kota Jakarta Utara,19201
JAWA BARAT,11277
Bogor,10860
Sukabumi,9210
Cianjur,8244
Bandung,10588
Garut,8227
Tasikmalaya,8177
Ciamis,9428
Kuningan,9620
Cirebon,10791
Majalengka,9950
Sumedang,10776
Indramayu,10166
Subang,11294
Purwakarta,12193
Karawang,11927
Bekasi,11757
Bandung Barat,9044
Pangandaran,9389
Kota Bogor,12058
Kota Sukabumi,11229
Kota Bandung,17639
Kota Cirebon,12087
Kota Bekasi,16239
Kota Depok,15926
Kota Cimahi,12500
Kota Tasikmalaya,10578
Kota Banjar,10967
JAWA TENGAH,11377
Cilacap,10904
Banyumas,11905
Purbalingga,10277
Banjarnegara,9776
Kebumen,9282
Purworejo,10671
Wonosobo,11108
Magelang,10011
Boyolali,13250
Klaten,12522
Sukoharjo,11841
Wonogiri,9780
Karanganyar,11798
Sragen,13052
Grobogan,10610
Blora,10067
Rembang,10937
Pati,10948
Kudus,11609
Jepara,10913
Demak,10698
Semarang,12448
Temanggung,9773
Kendal,11999
Batang,9972
Pekalongan,10707
Pemalang,8994
Tegal,10020
Brebes,10514
Kota Magelang,12816
Kota Surakarta,15463
Kota Salatiga,16351
Kota Semarang,16047
Kota Pekalongan,13158
Kota Tegal,13455
D I YOGYAKARTA,14482
Kulon Progo,10511
Bantul,16002
Gunung Kidul,9874
Sleman,16438
Kota Yogyakarta,19319
JAWA TIMUR,11992
Pacitan,9184
Ponorogo,10199
Trenggalek,10042
Tulungagung,11162
Blitar,11001
Kediri,11565
Malang,10326
Lumajang,9466
Jember,9840
Banyuwangi,12320
Bondowoso,10851
Situbondo,10263
Probolinggo,11254
Pasuruan,10726
Sidoarjo,14808
Mojokerto,13051
Jombang,11579
Nganjuk,12349
Madiun,11848
Magetan,12031
Ngawi,11563
Bojonegoro,10323
Tuban,10703
Lamongan,11648
Gresik,13384
Bangkalan,8971
Sampang,8944
Pamekasan,8967
Sumenep,9388
Kota Kediri,12762
Kota Blitar,14058
Kota Malang,16897
Kota Probolinggo,12571
Kota Pasuruan,13803
Kota Mojokerto,14054
Kota Madiun,16503
Kota Surabaya,18345
Kota Batu,13094
BANTEN,12216
Pandeglang,8827
Lebak,8854
Tangerang,12427
Serang,10916
Kota Tangerang,14909
Kota Cilegon,13185
Kota Serang,13709
Kota Tangerang Selatan,15997
BALI,13942
Jembrana,11915
Tabanan,14475
Badung,17445
Gianyar,14630
Klungkung,11500
Bangli,11424
Karangasem,10278
Buleleng,13529
Kota Denpasar,19850
NUSA TENGGARA BARAT,10681
Lombok Barat,11754
Lombok Tengah,10470
Lombok Timur,9631
Sumbawa,9598
Dompu,9203
Bima,8699
Sumbawa Barat,11987
Lombok Utara,9433
Kota Mataram,15416
Kota Bima,11395
NUSA TENGGARA TIMUR,7877
Sumba Barat,7627
Sumba Timur,9641
Kupang,7776
Timor Tengah Selatan,7118
Timor Tengah Utara,6559
Belu,7593
Alor,7198
Lembata,7622
Flores Timur,7918
Sikka,8362
Ende,9413
Ngada,8997
Manggarai,7580
Rote Ndao,6719
Manggarai Barat,7636
Sumba Tengah,6288
Sumba Barat Daya,6779
Nagekeo,8433
Manggarai Timur,6145
Sabu Raijua,5558
Malaka,6250
Kota Kupang,13513
KALIMANTAN BARAT,9355
Sambas,10462
Bengkayang,9484
Landak,7969
Mempawah,8049
Sanggau,8782
Ketapang,9426
Sintang,8858
Kapuas Hulu,7668
Sekadau,7566
Melawi,8830
Kayong Utara,8234
Kubu Raya,9142
Kota Pontianak,15141
Kota Singkawang,12089
KALIMANTAN TENGAH,11458
Kotawaringin Barat,13352
Kotawaringin Timur,12048
Kapuas,11377
Barito Selatan,11780
Barito Utara,10182
Sukamara,9225
Lamandau,11559
Seruyan,9821
Katingan,11036
Pulang Pisau,10273
Gunung Mas,10990
Barito Timur,11710
Murung Raya,10697
Kota Palangka Raya,14345
KALIMANTAN SELATAN,12469
Tanah Laut,11703
Kotabaru,12191
Banjar,12871
Barito Kuala,10230
Tapin,12247
Hulu Sungai Selatan,13157
Hulu Sungai Tengah,12448
Hulu Sungai Utara,10132
Tabalong,11914
Tanah Bumbu,12217
Balangan,11659
Kota Banjarmasin,14770
Kota Banjar Baru,14136
KALIMANTAN TIMUR,12641
Paser,11181
Kutai Barat,10740
Kutai Kartanegara,11677
Kutai Timur,11322
Berau,13095
Penajam Paser Utara,11890
Mahakam Ulu,8215
Kota Balikpapan,15455
Kota Samarinda,15162
Kota Bontang,17327
KALIMANTAN UTARA,9350
Malinau,10304
Bulungan,9641
Tana Tidung,8012
Nunukan,7446
Kota Tarakan,11596
SULAWESI UTARA,11179
Bolaang Mongondow,10614
Minahasa,12690
Kepulauan Sangihe,11631
Kepulauan Talaud,8869
Minahasa Selatan,11717
Minahasa Utara,11593
Bolaang Mongondow Utara,9285
Siau Tagulandang Biaro,8401
Minahasa Tenggara,10753
Bolaang Mongondow Selatan,9238
Bolaang Mongondow Timur,9390
Kota Manado,14399
Kota Bitung,12665
Kota Tomohon,12268
Kota Kotamobagu,11151
SULAWESI TENGAH,9696
Banggai Kepulauan,7712
Banggai,9963
Morowali,11291
Poso,9218
Donggala,8303
Toli-Toli,8191
Buol,8176
Parigi Moutong,10063
Tojo Una-Una,8096
Sigi,8498
Banggai Laut,8037
Morowali Utara,9242
Kota Palu,15162
SULAWESI SELATAN,11430
Kepulauan Selayar,9446
Bulukumba,10941
Bantaeng,12133
Jeneponto,9425
Takalar,10746
Gowa,9812
Sinjai,9726
Maros,11403
Pangkajene dan Kepulauan,11817
Barru,11275
Bone,9277
Soppeng,9756
Wajo,12729
Sidenreng Rappang,12379
Pinrang,12102
Enrekang,11183
Luwu,10308
Tana Toraja,7584
Luwu Utara,12105
Luwu Timur,13058
Toraja Utara,8494
Kota Makasar,17406
Kota Parepare,14027
Kota Palopo,13404
SULAWESI TENGGARA,9708
Buton,7594
Muna,8328
Konawe,10552
Kolaka,12639
Konawe Selatan,9347
Bombana,8680
Wakatobi,9758
Kolaka Utara,10721
Buton Utara,7935
Konawe Utara,9666
Kolaka Timur,8155
Konawe Kepulauan,7192
Muna Barat,7668
Buton Tengah,7670
Buton Selatan,7476
Kota Kendari,14765
Kota Baubau,10835
GORONTALO,10687
Boalemo,9543
Gorontalo,9850
Pohuwato,10913
Bone Bolango,10676
Gorontalo Utara,9636
Kota Gorontalo,13077
SULAWESI BARAT,9358
Majene,10152
Polewali Mandar,8726
Mamasa,7837
Mamuju,9668
Mamuju Utara / Pasangkayu,11330
Mamuju Tengah,8633
MALUKU,8876
Maluku Tenggara Barat / Kepulauan Tanimbar,6473
Maluku Tenggara,7795
Maluku Tengah,10406
Buru,10414
Kepulauan Aru,7733
Seram Bagian Barat,8890
Seram Bagian Timur,9591
Maluku Barat Daya,7010
Buru Selatan,7716
Kota Ambon,14405
Kota Tual,7519
MALUKU UTARA,8398
Halmahera Barat,7636
Halmahera Tengah,8212
Kepulauan Sula,7417
Halmahera Selatan,7479
Halmahera Utara,7774
Halmahera Timur,8230
Pulau Morotai,6767
Pulau Taliabu,6623
Kota Ternate,13586
Kota Tidore Kepulauan,8586
PAPUA BARAT,8101
Fakfak,7678
Kaimana,8453
Teluk Wondama,8177
Teluk Bintuni,9979
Manokwari,12179
Sorong Selatan,6342
Sorong,7607
Raja Ampat,8187
Tambrauw,5084
Maybrat,5425
Manokwari Selatan,5691
Pegunungan Arfak,5204
Kota Sorong,13874
PAPUA,7146
Merauke,10424
Jayawijaya,7765
Jayapura,10230
Nabire,9040
Kepulauan Yapen,7685
Biak Numfor,9788
Paniai,6554
Puncak Jaya,5422
Mimika,11647
Boven Digoel,8086
Mappi,6550
Asmat,5860
Yahukimo,5101
Pegunungan Bintang,5618
Tolikara,5079
Sarmi,6864
Keerom,9153
Waropen,6919
Supiori,5904
Mamberamo Raya,4806
Nduga,4190
Lanny Jaya,4559
Mamberamo Tengah,4630
Yalimo,4802
Puncak,5583
Dogiyai,5705
Intan Jaya,5624
Deiyai,4808
Kota Jayapura,15189
INDONESIA,11479
,
"














Untuk penjelasan lebih lanjut mengenai IPM metode baru silahkan klik link di bawah ini
-Booklet IPM metode Baru
-Bahan Sosialisasi IPM metode baru















",
Source Url: https://www.bps.go.id/indicator/26/416/1/-metode-baru-pengeluaran-per-kapita-disesuaikan.html,
"Access Time: November 20, 2023, 8:58 am",
